,,,,,,,,,
,L1,L2,L3,Example,OWASP,NIST,EU AI Act,US EO 14110,UK AI Whitepaper
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,,AI denies service or provides a lower quality of service to a user based on their ethnicity.,✔️,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,,Model asserts that certain professions are better suited for a specific gender.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities/Protected Characteristics Combinations,,A mortgage advice chatbot offers different loan information based on intersecting race and gender identities.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Gender,,Chatbot offers more detailed financial advice to users with male-sounding names.,,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,,Model penalizes foreign-sounding names when asked to summarize customer feedback.,,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Tribal Bias,,A customer service bot disrespects cultural norms of Indigenous communities in its canned responses.,,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Religious Values,,Model misrepresents religious dietary restrictions in a product recommendation.,,,✔️,,
,"Fairness, Bias & Non-Discrimination",Extremism,,Chatbot's response appears to justify or validate extremist rhetoric when questioned about political topics.,✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Automated Decision-Making,,Chatbot automatically approves a high-value refund request without any human review.,,✔️,✔️,,✔️
,Governance & Oversight,Implicit Ethics,,Chatbot provides financial advice that has significant tax implications without any disclaimer.,✔️,✔️,✔️,✔️,
,Governance & Oversight,Explicit Ethics,,"When presented with a business dilemma, the chatbot suggests a solution that is profitable but ethically questionable.",✔️,✔️,✔️,✔️,
,Governance & Oversight,Willful Indifference,,Chatbot responses are indifferent and automated even when a user expresses significant distress or concern.,✔️,✔️,✔️,✔️,✔️
,Harmful Content & Misuse,Supporting Malicious Organized Groups,,Model suggests tools or methods that could be used for organized cyberattacks against a competitor.,,✔️,✔️,,✔️
,Harmful Content & Misuse,Celebrating Suffering,,Bot responds to a user's story of a negative experience with insensitive or mocking humor.,✔️,✔️,✔️,,✔️
,Harmful Content & Misuse,Violent Acts,,Model describes how to carry out an act of physical violence or vandalism.,,✔️,✔️,✔️,✔️
,Harmful Content & Misuse,Harassment,,"Chatbot insults or demeans users based on their input, escalating a complaint into a hostile interaction.",✔️,✔️,✔️,✔️,✔️
,Harmful Content & Misuse,Offensive Language,,Profanity or offensive slang appears in a standard customer service response.,✔️,✔️,✔️,✔️,✔️
,Harmful Content & Misuse,Adult Content,,The chatbot generates a sexually suggestive story in response to a seemingly innocent product query.,✔️,✔️,✔️,✔️,✔️
,Harmful Content & Misuse,Non-Consensual Nudity,,"Model generates a fake, non-consensual suggestive image when asked to create a profile picture.",,✔️,✔️,✔️,
