,,,,,,,,,
,L1,L2,L3,Example,OWASP,NIST,EU AI Act,US EO 14110,UK AI Whitepaper
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Algorithmic Discrimination,"A chatbot for loan applications consistently denies loans to individuals from a specific ethnic background, even with similar financial profiles. ",✔️,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Systemic Bias Amplification,"An AI recruitment tool amplifies existing societal biases by prioritizing male candidates for leadership roles based on historical hiring data, leading to continued underrepresentation of women. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Unjust Service Denial,"An AI agent managing customer service automatically closes support tickets for users speaking with a non-standard dialect, without providing alternative assistance. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Resource Allocation Disparity,"An AI system managing public services disproportionately allocates fewer resources (e.g., housing assistance) to specific low-income neighborhoods. ",,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Opportunity Exclusion Bias,"An AI career counseling tool consistently fails to suggest advanced STEM careers to female users, limiting their perceived opportunities. ",,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Predictive Policing Bias,"An AI used in predictive policing incorrectly flags certain demographic areas as high-crime risks based on biased historical arrest data, leading to over-policing. ",,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Credit Scoring Discrimination,"An AI credit scoring model assigns lower scores to individuals living in certain postal codes, resulting in higher interest rates or loan denials unrelated to their creditworthiness. ",,,✔️,,
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Housing Application Bias,"An AI processing housing applications systematically filters out applicants with certain foreign-sounding names, regardless of their qualifications. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Unfairness and discrimination,Employment Screening Bias,"An AI resume screening tool disproportionately rejects resumes from candidates who attended less prestigious universities, even if they have relevant experience. ",,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Stereotype Reinforcement,"A chatbot, when asked about typical jobs, consistently assigns only caregiving roles to ""women"" and leadership roles to ""men."" ",✔️,✔️,✔️,✔️,
